"Gender","Age","Education","Income","Income2","Occupation","State","Relationship.Status","Obligation","Obligation2","NEP","Vacation.Behaviour","rest and relax","luxury / be spoilt","do sports","excitement, a challenge","not exceed planned budget","realise creativity","fun and entertainment","good company","health and beauty","free-and-easy-going","entertainment facilities","not care about prices","life style of the local people","intense experience of nature","cosiness/familiar atmosphere","maintain unspoilt surroundings","everything organised","unspoilt nature/natural landscape","cultural offers","change of surroundings"
"Female",75,4,"Less than $30,000","<30k","retired","SA","widowed",4.06666666666667,"Q3",4.06666666666667,3.46666666666667,"yes","yes","no","no","yes","no","no","yes","no","yes","yes","no","yes","yes","yes","yes","yes","yes","no","no"
"Female",50,7,"Less than $30,000","<30k","unemployed","NSW","separated or divorced",4.66666666666667,"Q4",4.2,3.71428571428571,"yes","yes","no","no","yes","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","yes","yes"
"Male",62,3,"Less than $30,000","<30k","sales","WA","married",4.13333333333333,"Q3",3.93333333333333,3.07407407407407,"yes","yes","no","yes","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","no","yes","yes"
"Male",33,3,"Less than $30,000","<30k","professional","WA","separated or divorced",3.63333333333333,"Q2",4.13333333333333,2,"yes","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no"
"Female",55,1,"$30,001 to $60,000","30-60k","sales","VIC","married",3.3,"Q1",4.13333333333333,3.5,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","yes","no","no","no","no","no"
"Male",51,8,"$90,001 to $120,000","90-120k","professional","NSW","single",3.93333333333333,"Q3",4.2,3.46153846153846,"yes","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes"
"Male",69,7,"$120,001 to $150,000",">120k","professional","VIC","married",4.06666666666667,"Q3",3.66666666666667,2.59259259259259,"yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no"
"Male",23,6,"Less than $30,000","<30k","unemployed","QLD","single",3.86666666666667,"Q3",3.13333333333333,3.73333333333333,"no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","no"
"Male",42,6,"$60,001 to $90,000","60-90k","tradesperson","NSW","married",3.63333333333333,"Q2",3.6,1.96666666666667,"yes","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Female",35,7,"$90,001 to $120,000","90-120k","manager or administrator","VIC","living with a partner",3.8,"Q2",4.66666666666667,2.96666666666667,"yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","yes","yes","yes","no","yes","no","yes"
"Male",33,7,"$90,001 to $120,000","90-120k","manager or administrator","VIC","single",4.6,"Q4",4.13333333333333,4,"yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"Female",37,1,NA,NA,"professional","VIC","living with a partner",4.5,"Q4",3.4,2.83333333333333,"yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no"
"Male",57,6,"$60,001 to $90,000","60-90k","professional","SA","married",4.43333333333333,"Q4",4.26666666666667,2.65384615384615,"yes","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","yes","no","yes","yes","no"
"Male",45,6,"$60,001 to $90,000","60-90k","manager or administrator","NSW","married",3.06666666666667,"Q1",2.93333333333333,2.3,"yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",26,7,NA,NA,"professional","VIC","living with a partner",4.36666666666667,"Q4",3.4,3.44,"yes","yes","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no"
"Male",42,7,"$90,001 to $120,000","90-120k","manager or administrator","VIC","married",3.33333333333333,"Q1",4.2,1.8,"yes","no","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",27,7,"$30,001 to $60,000","30-60k","professional","VIC","single",3.66666666666667,"Q2",3.6,2.27777777777778,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",43,8,"$90,001 to $120,000","90-120k","professional","WA","married",3.76666666666667,"Q2",3.46666666666667,3.14285714285714,"yes","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no"
"Male",41,7,"$90,001 to $120,000","90-120k","manager or administrator","QLD","married",3.7,"Q2",3.06666666666667,2.53333333333333,"yes","yes","yes","no","yes","no","yes","yes","no","yes","no","no","no","no","no","yes","no","yes","no","yes"
"Female",37,7,"$60,001 to $90,000","60-90k","manager or administrator","VIC","married",4.03333333333333,"Q3",4.26666666666667,2.93333333333333,"yes","no","no","no","no","no","yes","yes","yes","yes","no","no","yes","yes","no","yes","no","yes","no","yes"
"Male",38,7,"$180,001 to $210,000",">120k","manager or administrator","NSW","married",2.93333333333333,"Q1",3.2,2.36666666666667,"yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","no","no","no","yes","yes","no","no","yes","yes"
"Female",39,8,"$30,001 to $60,000","30-60k","professional","NSW","single",3.6,"Q2",3.66666666666667,3.36666666666667,"yes","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","yes","yes"
"Male",22,3,"$120,001 to $150,000",">120k","Clerical or service worker","ACT","single",4.63333333333333,"Q4",4.4,3.86666666666667,"yes","no","yes","yes","yes","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no"
"Male",48,8,NA,NA,"small business owner","QLD","married",3.3,"Q1",2.93333333333333,2.1,"yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Male",56,8,"$90,001 to $120,000","90-120k","manager or administrator","NSW","married",3.16666666666667,"Q1",3.13333333333333,2.23333333333333,"yes","yes","no","no","yes","no","yes","no","no","yes","yes","no","no","no","no","no","yes","no","no","yes"
"Male",70,8,"$60,001 to $90,000","60-90k","professional","NSW","living with a partner",4,"Q3",3.13333333333333,2.875,"yes","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Male",25,4,"$120,001 to $150,000",">120k","manager or administrator","NSW","single",2.26666666666667,"Q1",3.06666666666667,2.37931034482759,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no"
"Male",58,4,"$180,001 to $210,000",">120k","small business owner","NSW","married",3.23333333333333,"Q1",2.86666666666667,3,"yes","yes","yes","no","yes","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","yes"
"Female",27,8,"$90,001 to $120,000","90-120k",NA,"NSW","living with a partner",3.93333333333333,"Q3",3.53333333333333,2.35294117647059,"yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"Female",25,6,"$60,001 to $90,000","60-90k","professional","NSW","living with a partner",3.76666666666667,"Q2",4.2,3.71428571428571,"yes","no","yes","no","yes","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","no","yes","yes"
"Male",38,3,"$90,001 to $120,000","90-120k","manager or administrator","QLD","living with a partner",3.73333333333333,"Q2",3.93333333333333,2.25,"yes","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes"
"Female",37,7,"$90,001 to $120,000","90-120k","manager or administrator","SA","living with a partner",3.4,"Q2",3.6,1.76666666666667,"yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",18,7,NA,NA,NA,"QLD","single",3.96666666666667,"Q3",3.73333333333333,3.15789473684211,"yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes"
"Male",35,7,"$120,001 to $150,000",">120k","professional","NSW","living with a partner",3.83333333333333,"Q3",3.6,2.77272727272727,"no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","yes"
"Female",36,7,"$90,001 to $120,000","90-120k","home-duties","NSW","married",3.86666666666667,"Q3",4.53333333333333,3.57142857142857,"yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","yes","no","yes","no","yes","yes","yes"
"Female",34,4,"$60,001 to $90,000","60-90k","Clerical or service worker","SA","married",3.2,"Q1",3.2,2.31578947368421,"yes","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes"
"Female",45,7,"$60,001 to $90,000","60-90k","professional","NSW","married",3.43333333333333,"Q2",3.46666666666667,2.5,"yes","yes","no","yes","yes","no","yes","no","yes","yes","no","no","no","yes","no","no","no","no","no","yes"
"Male",69,2,"$30,001 to $60,000","30-60k","manager or administrator","NSW","separated or divorced",3.36666666666667,"Q1",4.33333333333333,3.07407407407407,"yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",28,6,"$60,001 to $90,000","60-90k","manager or administrator","NSW","living with a partner",3.63333333333333,"Q2",2.86666666666667,3.2,"yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes"
"Male",28,2,"$60,001 to $90,000","60-90k","manager or administrator","NSW","living with a partner",3.13333333333333,"Q1",3,2.65217391304348,"yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes"
"Female",32,3,"more than $240,001",">120k","manager or administrator","QLD","single",3.7,"Q2",3.66666666666667,3.57894736842105,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no","no","yes","yes","yes"
"Male",46,6,"$30,001 to $60,000","30-60k","manager or administrator","NT","living with a partner",4.43333333333333,"Q4",4,3.82758620689655,"yes","no","no","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","yes","yes","no","no","yes"
"Male",20,7,"$30,001 to $60,000","30-60k","sales","VIC","single",3.83333333333333,"Q3",3.66666666666667,2.48275862068966,"yes","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","yes","no","no","no","no","yes"
"Female",56,8,NA,NA,"professional","QLD","married",4.2,"Q3",4.2,3.61538461538462,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no"
"Male",57,8,"$60,001 to $90,000","60-90k","professional","VIC","separated or divorced",3.13333333333333,"Q1",2.8,4.44444444444444,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes"
"Male",64,6,"$30,001 to $60,000","30-60k","retired","NSW","separated or divorced",4.53333333333333,"Q4",4.13333333333333,3.73333333333333,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","yes","yes","yes","no","yes"
"Female",23,7,NA,NA,"sales","NSW","living with a partner",3.83333333333333,"Q3",3.86666666666667,2.63333333333333,"yes","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes"
"Female",62,7,"$60,001 to $90,000","60-90k","Clerical or service worker","SA","living with a partner",3.8,"Q2",3.13333333333333,2.8,"yes","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes"
"Male",54,8,"$150,001 to $180,000",">120k","professional","QLD","married",3.53333333333333,"Q2",3.13333333333333,3.16,"yes","no","yes","yes","yes","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no"
"Male",68,4,"Less than $30,000","<30k","retired","VIC","living with a partner",3.46666666666667,"Q2",3.93333333333333,3.03448275862069,"yes","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","yes"
"Female",55,2,"$90,001 to $120,000","90-120k","home-duties","NSW","married",3.83333333333333,"Q3",4.6,2.58620689655172,"yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Male",62,7,"$90,001 to $120,000","90-120k","professional","VIC","married",3.83333333333333,"Q3",4.46666666666667,3.28571428571429,"yes","yes","yes","yes","no","yes","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes"
"Female",51,7,"$30,001 to $60,000","30-60k","Clerical or service worker","ACT","living with a partner",1.73333333333333,"Q1",2.66666666666667,3,"no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Female",60,2,"$30,001 to $60,000","30-60k","home-duties","SA","living with a partner",4.33333333333333,"Q4",3.6,4.11764705882353,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","no","no","yes","no","no","yes","no","yes"
"Female",30,7,"$90,001 to $120,000","90-120k","professional","WA","married",3.56666666666667,"Q2",3.86666666666667,1.86666666666667,"yes","yes","no","no","no","no","yes","yes","no","no","no","no","yes","no","yes","no","no","yes","no","no"
"Female",62,1,"Less than $30,000","<30k","home-duties","VIC","married",4.1,"Q3",4,3.71428571428571,"yes","no","no","no","yes","no","yes","no","yes","yes","no","no","no","yes","no","no","no","no","no","yes"
"Male",48,1,NA,NA,"small business owner","NSW","married",3.5,"Q2",3.26666666666667,3.04545454545455,"yes","no","no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","yes","yes","no","no","yes"
"Male",54,1,"$30,001 to $60,000","30-60k","transport worker","NSW","married",3.76666666666667,"Q2",3.93333333333333,2.56666666666667,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","no"
"Female",34,2,"$90,001 to $120,000","90-120k","small business owner","NSW","married",3.33333333333333,"Q1",2.86666666666667,2.92592592592593,"yes","yes","no","no","no","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no"
"Female",29,7,"$90,001 to $120,000","90-120k","professional","NSW","married",4.33333333333333,"Q4",3.86666666666667,2.39285714285714,"yes","no","no","yes","yes","no","yes","no","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes"
"Male",66,NA,NA,NA,NA,"QLD","married",3.86666666666667,"Q3",3.8,2.625,"no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no"
"Female",58,4,"$120,001 to $150,000",">120k","retired","NSW","married",4.56666666666667,"Q4",3.8,3.06666666666667,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no","no","no","no","yes"
"Male",36,3,"$60,001 to $90,000","60-90k","professional","WA","married",3.43333333333333,"Q2",3.6,3.32,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",28,6,"Less than $30,000","<30k","labourer","VIC","single",3,"Q1",3.4,3.8,"yes","yes","yes","no","no","no","yes","yes","no","yes","no","yes","yes","yes","no","yes","no","yes","yes","yes"
"Male",55,6,"$30,001 to $60,000","30-60k","professional","NSW","separated or divorced",3.8,"Q2",3.53333333333333,1.55172413793103,"yes","yes","no","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","no","yes","no","yes"
"Female",36,3,"$90,001 to $120,000","90-120k","Clerical or service worker","VIC","living with a partner",4.46666666666667,"Q4",3.73333333333333,2.84615384615385,"yes","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no"
"Male",33,4,"Less than $30,000","<30k","manager or administrator","WA","single",3.33333333333333,"Q1",3.4,3.36363636363636,"yes","yes","no","no","yes","no","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no"
"Male",35,8,"more than $240,001",">120k","manager or administrator","VIC","single",4.06666666666667,"Q3",3.93333333333333,3.46666666666667,"yes","yes","yes","no","no","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no"
"Male",18,6,NA,NA,NA,"NSW","single",4,"Q3",2.8,2.63157894736842,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",65,6,"$30,001 to $60,000","30-60k","retired","VIC","married",4.2,"Q3",3.66666666666667,2.65384615384615,"yes","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes"
"Male",25,6,"$60,001 to $90,000","60-90k","labourer","NSW","married",4,"Q3",3.53333333333333,2.92857142857143,"yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes"
"Female",31,3,"$60,001 to $90,000","60-90k","small business owner","QLD","married",4.56666666666667,"Q4",3.8,3.47826086956522,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Female",37,2,"$60,001 to $90,000","60-90k","sales","QLD","married",4.2,"Q3",3.26666666666667,2.3,"yes","no","no","no","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Male",33,6,"$60,001 to $90,000","60-90k","professional","QLD","married",4.13333333333333,"Q3",3.8,2.73333333333333,"yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",59,NA,NA,NA,NA,"WA","married",3.8,"Q2",4.13333333333333,2.96666666666667,"yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","yes"
"Female",64,4,"Less than $30,000","<30k","transport worker","VIC","widowed",4.5,"Q4",3.2,3.08333333333333,"yes","no","no","yes","yes","no","yes","yes","no","yes","no","no","yes","no","yes","yes","no","yes","no","yes"
"Female",35,6,"$30,001 to $60,000","30-60k","home-duties","WA","married",3.26666666666667,"Q1",2.66666666666667,2.13793103448276,"yes","no","no","no","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","yes"
"Male",37,2,"$60,001 to $90,000","60-90k","labourer","QLD","married",3.96666666666667,"Q3",3.4,3.21428571428571,"yes","yes","no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes"
"Male",76,NA,"$150,001 to $180,000",">120k","professional","Tas","married",3.3,"Q1",3.33333333333333,1.53333333333333,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",55,8,"$120,001 to $150,000",">120k","professional","VIC","married",3.16666666666667,"Q1",3.86666666666667,2.93333333333333,"yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes"
"Male",54,8,"$150,001 to $180,000",">120k","professional","NSW","living with a partner",4.5,"Q4",4.4,3.95833333333333,"yes","no","no","no","yes","yes","yes","yes","no","no","no","no","yes","yes","no","no","yes","no","yes","yes"
"Male",49,1,"$90,001 to $120,000","90-120k","manager or administrator","VIC","married",3.63333333333333,"Q2",3.33333333333333,2.3448275862069,"yes","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","no","yes","yes","no"
"Female",55,7,"$90,001 to $120,000","90-120k","home-duties","VIC","married",3.26666666666667,"Q1",4,2.15,"yes","no","no","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","yes"
"Male",63,2,"$30,001 to $60,000","30-60k","retired","NSW","married",3.46666666666667,"Q2",3.33333333333333,2.15789473684211,"no","no","no","yes","yes","no","yes","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes"
"Female",69,4,"Less than $30,000","<30k","retired","VIC","widowed",3.76666666666667,"Q2",4,2.75862068965517,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no"
"Female",46,4,"Less than $30,000","<30k","professional","NSW","single",4.23333333333333,"Q4",4.26666666666667,4.125,"yes","no","yes","yes","yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","yes","no","yes"
"Female",61,2,"Less than $30,000","<30k","manager or administrator","NSW","separated or divorced",3.83333333333333,"Q3",3.06666666666667,3,"yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes","no","no"
"Male",28,7,"Less than $30,000","<30k","manager or administrator","NSW","living with a partner",3.73333333333333,"Q2",3.93333333333333,2.8,"no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no"
"Female",33,7,"$60,001 to $90,000","60-90k","professional","NSW","single",4.46666666666667,"Q4",3.8,3.26666666666667,"yes","no","no","yes","yes","yes","yes","yes","no","yes","no","no","yes","yes","no","yes","no","no","no","yes"
"Female",30,3,"$60,001 to $90,000","60-90k","Clerical or service worker","VIC","married",3.6,"Q2",3.8,3.33333333333333,"yes","yes","no","no","no","no","yes","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes"
"Male",50,7,"$60,001 to $90,000","60-90k","professional","SA","single",4.03333333333333,"Q3",2.93333333333333,3.08,"no","no","no","yes","no","no","no","yes","no","yes","yes","no","yes","no","no","no","no","no","yes","yes"
"Male",23,7,"$60,001 to $90,000","60-90k","professional","VIC","single",3.93333333333333,"Q3",4.13333333333333,2.37037037037037,"yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Female",58,1,"Less than $30,000","<30k","home-duties","NSW","separated or divorced",4.03333333333333,"Q3",3.06666666666667,1.73333333333333,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes"
"Female",35,8,"$60,001 to $90,000","60-90k","professional","WA","married",3.06666666666667,"Q1",3.46666666666667,NA,"yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",22,6,"$60,001 to $90,000","60-90k","sales","VIC","single",2.93333333333333,"Q1",2.33333333333333,2.65217391304348,"yes","no","no","yes","yes","no","yes","yes","no","yes","no","no","yes","yes","no","no","no","no","yes","yes"
"Male",39,3,"$60,001 to $90,000","60-90k","tradesperson","QLD","married",3.96666666666667,"Q3",3.93333333333333,2.86666666666667,"yes","yes","no","yes","yes","no","yes","no","no","yes","no","no","yes","no","no","yes","no","no","yes","yes"
"Female",35,3,"$30,001 to $60,000","30-60k","professional","NSW","living with a partner",4.2,"Q3",3.66666666666667,2.1,"yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",21,7,"$90,001 to $120,000","90-120k","sales","NSW","single",3.43333333333333,"Q2",4.13333333333333,2.14814814814815,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","yes","yes","yes","yes"
"Male",62,8,"$60,001 to $90,000","60-90k","professional","VIC","married",3.63333333333333,"Q2",2.93333333333333,2.57142857142857,"yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes"
"Male",24,8,"$120,001 to $150,000",">120k","professional","NSW","single",3.26666666666667,"Q1",3.4,2.29411764705882,"yes","yes","no","yes","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","yes"
"Male",49,4,"$30,001 to $60,000","30-60k","Clerical or service worker","NSW","married",4.1,"Q3",3,3.57692307692308,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes"
"Female",41,1,"$30,001 to $60,000","30-60k","sales","SA","married",4.13333333333333,"Q3",4.33333333333333,3.17241379310345,"yes","yes","no","yes","no","no","yes","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes"
"Male",21,6,"$30,001 to $60,000","30-60k","unemployed","NSW","single",3.6,"Q2",4.06666666666667,2.92857142857143,"yes","no","no","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","no"
"Male",37,6,"$60,001 to $90,000","60-90k","labourer","SA","married",1,"Q1",5,2.03333333333333,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Female",28,6,"$60,001 to $90,000","60-90k","professional","ACT","married",3.96666666666667,"Q3",3.33333333333333,2.3,"yes","yes","no","yes","yes","no","yes","yes","no","yes","no","no","no","no","yes","no","no","no","no","no"
"Male",59,8,"$150,001 to $180,000",">120k","professional","SA","single",3.86666666666667,"Q3",3.6,1.85185185185185,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Male",37,7,"$150,001 to $180,000",">120k","manager or administrator","NSW","married",3.66666666666667,"Q2",3.73333333333333,2.72727272727273,"yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","no","no","yes","no"
"Female",31,6,"$60,001 to $90,000","60-90k","Clerical or service worker","NSW","married",3.93333333333333,"Q3",4.26666666666667,3.22727272727273,"yes","yes","no","yes","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","no"
"Male",59,6,"$30,001 to $60,000","30-60k","retired","NSW","married",4.06666666666667,"Q3",3.4,3.25,"yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","yes","no","no","yes","no","no","yes"
"Female",42,3,"$30,001 to $60,000","30-60k","Clerical or service worker","WA","married",3.13333333333333,"Q1",3.26666666666667,2.54166666666667,"yes","yes","no","no","no","no","yes","yes","yes","yes","no","yes","yes","no","no","no","no","no","no","no"
"Female",52,2,"$30,001 to $60,000","30-60k","small business owner","ACT","married",4.1,"Q3",4.2,2.71428571428571,"yes","no","no","no","no","yes","yes","no","yes","yes","no","no","no","yes","yes","yes","no","yes","no","yes"
"Female",61,1,"Less than $30,000","<30k","labourer","WA","separated or divorced",4.73333333333333,"Q4",4.6,3.875,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
